RUN	Protoplast_assay	CRISPResso2_category	Batch	Condition_name	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions	Efficiency	Figure	Figure_bar	Reference	Position_in_Figure	Position_in_Figure_bar
RUN29	pp24	gRNA1	TOP23PDS3large1_rep1	AtPDS3-1	22564	22361	203	0	0	0	203	0	0	203	0	0	0	0	0	Fig.2D	Fig.2D	-	2	2
RUN29	pp24	gRNA1	TOP23PDS3large1_rep2	AtPDS3-1	29534	29229	305	0	0	1	304	0	1	304	0	0	0	0	3.38593E-05	Fig.2D	Fig.2D	-	2	2
RUN29	pp24	gRNA1	TOP23PDS3large1_rep3	AtPDS3-1	23719	23486	233	0	0	0	233	0	0	233	0	0	0	0	0	Fig.2D	Fig.2D	-	2	2
RUN29	pp24	gRNA2	TOP23PDS3large2_rep1	AtPDS3-2	12801	2790	10011	0	206	9658	1144	43	8824	159	0	151	822	12	0.692680259	Fig.2D	Fig.2D	-	3	3
RUN29	pp24	gRNA2	TOP23PDS3large2_rep2	AtPDS3-2	18855	3494	15361	0	336	14865	1791	47	13523	180	0	269	1322	20	0.719702997	Fig.2D	Fig.2D	-	3	3
RUN29	pp24	gRNA2	TOP23PDS3large2_rep3	AtPDS3-2	15362	2576	12786	0	395	12245	1476	0	11310	181	0	360	900	35	0.736232261	Fig.2D	Fig.2D	-	3	3
RUN29	pp24	gRNA4	TOP23PDS3large4_rep1	AtPDS3-3	24183	22817	1366	0	11	1118	342	0	1024	237	0	11	94	0	0.042343795	Fig.2D	Fig.2D	-	4	4
RUN29	pp24	gRNA4	TOP23PDS3large4_rep2	AtPDS3-3	36887	35035	1852	0	16	1465	579	16	1257	371	0	0	208	0	0.034510803	Fig.2D	Fig.2D	-	4	4
RUN29	pp24	gRNA4	TOP23PDS3large4_rep3	AtPDS3-3	26480	24966	1514	0	0	1264	255	0	1259	250	0	0	5	0	0.047545317	Fig.2D	Fig.2D	-	4	4
RUN29	pp24	gRNA5	TOP23PDS3large5_rep1	AtPDS3-4	22451	19718	2733	0	88	2112	821	0	1912	550	0	71	183	17	0.085163244	Fig.2D	Fig.2D	-	5	5
RUN29	pp24	gRNA5	TOP23PDS3large5_rep2	AtPDS3-4	25736	22830	2906	0	61	2160	1064	6	1836	685	0	55	324	0	0.071572894	Fig.2D	Fig.2D	-	5	5
RUN29	pp24	gRNA5	TOP23PDS3large5_rep3	AtPDS3-4	23539	21733	1806	0	75	1105	838	0	968	626	0	75	137	0	0.041123242	Fig.2D	Fig.2D	-	5	5
RUN29	pp24	gRNA6	TOP23PDS3large6_rep1	AtPDS3-5	8056	7978	78	0	0	1	77	0	1	77	0	0	0	0	0.000124131	Fig.2D	Fig.2D	-	6	6
RUN29	pp24	gRNA6	TOP23PDS3large6_rep2	AtPDS3-5	16138	16015	123	0	0	0	123	0	0	123	0	0	0	0	0	Fig.2D	Fig.2D	-	6	6
RUN29	pp24	gRNA6	TOP23PDS3large6_rep3	AtPDS3-5	4426	4394	32	0	0	0	32	0	0	32	0	0	0	0	0	Fig.2D	Fig.2D	-	6	6
RUN29	pp24	gRNA1	AausFP1_gRNA12_rep1	mock	37608	37188	420	0	0	0	420	0	0	420	0	0	0	0	0	Fig.2D	Fig.2D	-	1	1
RUN29	pp24	gRNA1	AausFP1_gRNA12_rep2	mock	23368	23080	288	0	0	0	288	0	0	288	0	0	0	0	0	Fig.2D	Fig.2D	-	1	1
RUN29	pp24	gRNA1	AausFP1_gRNA12_rep3	mock	20514	20356	158	0	0	0	158	0	0	158	0	0	0	0	0	Fig.2D	Fig.2D	-	1	1
